Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2024-04-13 19:15:04 UTC,Staking Income,SOL,0.000324928,USD,142.105,0.05,0.05,0,
2024-04-12 16:46:57 UTC,Staking Income,SOL,5.08908E-05,USD,166.26,0.01,0.01,0,
2024-04-12 14:05:03 UTC,Advance Trade Buy,ETH,0.00000841,USD,3472.62,0.03,0.03,0.000175228,Bought 0.00000841 ETH for 0.03 USD on ETH-USDC
2024-04-12 14:05:02 UTC,Advance Trade Buy,ETH,0.00721,USD,3472.62,25.04,25.19,0.150225541,Bought 0.00721 ETH for 25.19 USD on ETH-USDC
2024-04-12 14:04:51 UTC,Advance Trade Buy,BTC,0.00035623,USD,70032.14,24.95,25.1,0.149685295,Bought 0.00035623 BTC for 25.10 USD on BTC-USDC
2024-04-11 20:41:57 UTC,Buy,USDC,50,USD,1,50,50,0,Bought 50 USDC for 50.00 USD
2024-04-11 18:38:06 UTC,Staking Income,SOL,5.08799E-05,USD,174.975,0.01,0.01,0,
2024-04-11 00:57:36 UTC,Staking Income,ADA,0.069962968,USD,0.5889,0.04,0.04,0,
2024-04-10 20:24:20 UTC,Staking Income,SOL,0.000380095,USD,171.815,0.07,0.07,0,
2024-04-09 07:35:26 UTC,Staking Income,SOL,0.000333147,USD,176.31,0.06,0.06,0,
2024-04-08 21:15:45 UTC,Staking Income,SOL,0.000387528,USD,180.395,0.07,0.07,0,
2024-04-08 20:03:13 UTC,Staking Income,SOL,0.000328781,USD,179.34,0.06,0.06,0,
2024-04-06 01:47:20 UTC,Staking Income,ADA,0.069845135,USD,0.57615,0.04,0.04,0,
2024-04-05 01:14:49 UTC,Receive,USDC,0.008156,USD,1,0.01,0.01,0,Received 0.008156 USDC from 
2024-04-04 20:15:09 UTC,Staking Income,SOL,0.000369108,USD,183.155,0.07,0.07,0,
2024-04-04 19:21:54 UTC,Staking Income,SOL,0.000019315,USD,186.58,0,0,0,
2024-04-04 18:26:46 UTC,Advance Trade Buy,BTC,0.00071761,USD,69047.91,49.55,49.85,0.297296824,Bought 0.00071761 BTC for 49.85 USD on BTC-USDC
2024-04-04 18:26:44 UTC,Advance Trade Buy,ETH,0.01449,USD,3418.57,49.54,49.83,0.297210476,Bought 0.01449 ETH for 49.83 USD on ETH-USDC
2024-04-04 18:26:44 UTC,Advance Trade Buy,ETH,0.00000421,USD,3418.57,0.01,0.01,8.63531E-05,Bought 0.00000421 ETH for 0.01 USD on ETH-USDC
2024-04-04 07:36:59 UTC,Buy,USDC,50,USD,1,50,50,0,Bought 50 USDC for 50.00 USD
2024-04-02 07:37:37 UTC,Staking Income,ADA,0.070083,USD,0.59835,0.04,0.04,0,
2024-04-02 03:09:39 UTC,Staking Income,SOL,0.000018228,USD,185.395,0,0,0,
